Individual,Region,Sex,SVL,head_shape,region,location
1,Central,F,112.2,804.928074,RW1,0.018623
2,Central,F,90,722.469024,RW1,7.94e-4
3,Central,F,63.2,729.791172,RW1,-0.0317
4,Central,F,56.6,466.056972,RW1,-0.073112
5,Central,F,96.3,811.066081,RW1,0.006698
6,Central,F,88.2,946.360852,RW1,0.004251
7,Central,F,110,962.895852,RW1,0.018068
8,Central,F,89.2,805.818138,RW1,-0.029837
9,Central,F,106.5,960.545944,RW1,7.96e-4
10,Central,F,74.4,670.357113,RW1,0.026134
11,Central,F,83.4,808.202075,RW1,-0.018086
12,Central,F,100.9,1002.208643,RW1,-9.77e-4
13,Central,F,99.8,568.339192,RW1,-0.072988
14,Central,F,50.3,496.217005,RW1,-0.028203
15,East,F,57.3,464.117846,RW1,-0.009493
16,East,F,78.6,615.637977,RW1,0.020027
17,East,F,78.6,812.263689,RW1,-0.025741
18,East,F,55.9,643.97178,RW1,-0.052906
19,East,F,73.6,755.143488,RW1,0.020402
20,East,F,57.3,656.577666,RW1,0.010005
21,East,F,52.7,627.328429,RW1,-0.002843
22,East,F,78.4,588.499253,RW1,-0.031071
23,East,F,53.9,533.444403,RW1,-0.019649
24,East,F,76.8,698.330635,RW1,-0.001459
25,West,F,79.5,376.677564,RW1,0.017066
26,West,F,105.1,498.605865,RW1,0.058627
27,West,F,95,436.738085,RW1,-0.056799
28,West,F,109,513.735079,RW1,-0.03507
29,West,F,45.5,275.265341,RW1,-0.010183
30,West,F,78.3,396.903011,RW1,-0.007717
31,West,F,104,453.4962,RW1,0.050359
32,West,F,88.5,760.660458,RW1,-0.023977
33,West,F,68.1,743.689126,RW1,-0.014569
34,West,F,86.2,863.417958,RW1,0.018051
35,West,F,77.5,569.260851,RW1,-0.020942
36,West,F,78.9,1026.300084,RW1,0.022314
37,West,F,116.4,888.828929,RW1,0.011624
38,West,F,81.2,1181.868863,RW1,0.055645
39,West,F,76.6,400.123891,RW1,0.003549
40,West,F,51.6,449.384748,RW1,0.021308
41,West,F,81.7,752.901178,RW1,0.010519
42,West,F,111.8,774.789035,RW1,0.035986
43,West,F,88.6,631.127171,RW1,0.076577
44,West,F,108,430.205819,RW1,-0.048973
45,West,F,61.2,700.0916,RW1,-0.008868
46,West,F,101.9,455.704772,RW1,0.033945
47,West,F,99.5,440.073723,RW1,-0.031775
48,Central,M,88.3,703.64,RW1,-0.023541
49,Central,M,34.2,677.322333,RW1,-9.61e-4
50,Central,M,80.4,911.295421,RW1,0.012361
51,Central,M,89,939.061068,RW1,-0.032066
52,Central,M,58.1,625.089598,RW1,-0.020538
53,Central,M,84.6,821.974416,RW1,0.013944
54,Central,M,91.3,788.743894,RW1,0.001944
55,Central,M,90.9,636.551099,RW1,0.029248
56,Central,M,85.1,834.939056,RW1,0.015484
57,Central,M,78.2,663.463242,RW1,-0.02178
58,Central,M,84.1,550.938399,RW1,0.002815
59,Central,M,58.9,476.122943,RW1,0.031861
60,Central,M,81.1,587.912367,RW1,-0.023408
61,Central,M,52.2,644.817042,RW1,-0.024687
62,Central,M,59.8,582.824366,RW1,0.033456
63,East,M,77.5,681.916658,RW1,0.041612
64,East,M,56.2,494.302947,RW1,0.014737
65,East,M,50.4,499.835819,RW1,0.029653
66,East,M,56.7,464.601751,RW1,0.008711
67,East,M,47.9,500.718431,RW1,-0.00762
68,East,M,58,574.76124,RW1,-0.048175
69,East,M,73.5,654.421847,RW1,0.036116
70,East,M,83.6,812.274005,RW1,0.018814
71,East,M,51.4,812.030635,RW1,0.007062
72,East,M,51.2,632.064054,RW1,0.027126
73,East,M,77.9,587.289172,RW1,1.56e-4
74,East,M,82.8,786.409543,RW1,-0.016133
75,East,M,80.1,878.875995,RW1,-0.031312
76,East,M,69,667.517955,RW1,-0.019786
77,East,M,85.6,580.019971,RW1,0.007741
78,East,M,85.5,630.062267,RW1,0.041974
79,East,M,79.6,460.881764,RW1,7.33e-4
80,East,M,96.8,654.561643,RW1,-0.014134
81,West,M,79.2,380.197093,RW1,-0.007256
82,West,M,71.7,355.399677,RW1,0.001601
83,West,M,73,343.140866,RW1,-0.021504
84,West,M,88,393.244012,RW1,0.006108
85,West,M,49.2,700.56178,RW1,-0.003535
86,West,M,78.2,677.107359,RW1,-0.004644
87,West,M,60.4,499.517357,RW1,-0.018178
88,West,M,55.4,692.916215,RW1,0.024871
89,West,M,82,385.11846,RW1,-0.013212
90,West,M,95.1,1028.885435,RW1,0.026689
91,West,M,92.1,781.43769,RW1,-0.022529
92,West,M,76.1,837.565992,RW1,0.004921
93,West,M,55.8,771.999143,RW1,0.02712
94,West,M,92.2,1010.301148,RW1,-0.059309
95,West,M,69,369.722883,RW1,-0.019761
96,West,M,91,686.275155,RW1,-0.006508
97,West,M,82.1,396.765058,RW1,-0.011235
98,West,M,94.1,595.784915,RW1,-0.003524
99,West,M,92.4,615.486169,RW1,0.022038
100,West,M,83.3,911.927899,RW1,0.030587
101,West,M,82.3,622.754406,RW1,0.056893
102,West,M,52.3,686.417865,RW1,-0.02608
103,West,M,89.1,1040.188511,RW1,-0.015332
104,West,M,81.2,729.092593,RW1,-0.015338
105,West,M,100.1,710.057837,RW1,0.066546
106,West,M,81.4,585.924293,RW1,0.04223
107,West,M,45.7,586.344052,RW1,-0.037495
1,Central,F,112.2,804.928074,RW2,-0.00943
2,Central,F,90,722.469024,RW2,-0.018716
3,Central,F,63.2,729.791172,RW2,-0.00459
4,Central,F,56.6,466.056972,RW2,-0.044525
5,Central,F,96.3,811.066081,RW2,0.052963
6,Central,F,88.2,946.360852,RW2,0.002763
7,Central,F,110,962.895852,RW2,-0.014764
8,Central,F,89.2,805.818138,RW2,-0.028296
9,Central,F,106.5,960.545944,RW2,0.00522
10,Central,F,74.4,670.357113,RW2,0.014985
11,Central,F,83.4,808.202075,RW2,0.02533
12,Central,F,100.9,1002.208643,RW2,0.040249
13,Central,F,99.8,568.339192,RW2,-0.028747
14,Central,F,50.3,496.217005,RW2,0.028932
15,East,F,57.3,464.117846,RW2,-0.004422
16,East,F,78.6,615.637977,RW2,-0.059748
17,East,F,78.6,812.263689,RW2,0.011829
18,East,F,55.9,643.97178,RW2,-0.036387
19,East,F,73.6,755.143488,RW2,-0.015597
20,East,F,57.3,656.577666,RW2,0.011597
21,East,F,52.7,627.328429,RW2,-0.013377
22,East,F,78.4,588.499253,RW2,0.018979
23,East,F,53.9,533.444403,RW2,-0.003469
24,East,F,76.8,698.330635,RW2,0.0129
25,West,F,79.5,376.677564,RW2,0.004038
26,West,F,105.1,498.605865,RW2,0.025043
27,West,F,95,436.738085,RW2,0.004398
28,West,F,109,513.735079,RW2,0.043224
29,West,F,45.5,275.265341,RW2,-0.060489
30,West,F,78.3,396.903011,RW2,-0.005611
31,West,F,104,453.4962,RW2,-0.03007
32,West,F,88.5,760.660458,RW2,0.031129
33,West,F,68.1,743.689126,RW2,0.024681
34,West,F,86.2,863.417958,RW2,0.047484
35,West,F,77.5,569.260851,RW2,0.014521
36,West,F,78.9,1026.300084,RW2,0.003067
37,West,F,116.4,888.828929,RW2,-0.00405
38,West,F,81.2,1181.868863,RW2,0.00958
39,West,F,76.6,400.123891,RW2,-0.036071
40,West,F,51.6,449.384748,RW2,-0.090766
41,West,F,81.7,752.901178,RW2,0.026792
42,West,F,111.8,774.789035,RW2,-0.025962
43,West,F,88.6,631.127171,RW2,-0.032781
44,West,F,108,430.205819,RW2,-0.031217
45,West,F,61.2,700.0916,RW2,0.041377
46,West,F,101.9,455.704772,RW2,0.022221
47,West,F,99.5,440.073723,RW2,0.048578
48,Central,M,88.3,703.64,RW2,-0.032455
49,Central,M,34.2,677.322333,RW2,0.026208
50,Central,M,80.4,911.295421,RW2,-0.008757
51,Central,M,89,939.061068,RW2,0.003849
52,Central,M,58.1,625.089598,RW2,-0.021088
53,Central,M,84.6,821.974416,RW2,0.006954
54,Central,M,91.3,788.743894,RW2,0.029687
55,Central,M,90.9,636.551099,RW2,0.028249
56,Central,M,85.1,834.939056,RW2,0.029628
57,Central,M,78.2,663.463242,RW2,-0.004373
58,Central,M,84.1,550.938399,RW2,0.04397
59,Central,M,58.9,476.122943,RW2,0.020095
60,Central,M,81.1,587.912367,RW2,0.00621
61,Central,M,52.2,644.817042,RW2,0.025492
62,Central,M,59.8,582.824366,RW2,0.010583
63,East,M,77.5,681.916658,RW2,0.016288
64,East,M,56.2,494.302947,RW2,-0.037028
65,East,M,50.4,499.835819,RW2,-0.00504
66,East,M,56.7,464.601751,RW2,-0.040102
67,East,M,47.9,500.718431,RW2,-0.019412
68,East,M,58,574.76124,RW2,-0.023326
69,East,M,73.5,654.421847,RW2,0.004862
70,East,M,83.6,812.274005,RW2,-0.023031
71,East,M,51.4,812.030635,RW2,0.013072
72,East,M,51.2,632.064054,RW2,-0.025898
73,East,M,77.9,587.289172,RW2,0.036817
74,East,M,82.8,786.409543,RW2,6.71e-4
75,East,M,80.1,878.875995,RW2,0.017604
76,East,M,69,667.517955,RW2,0.031115
77,East,M,85.6,580.019971,RW2,-0.02068
78,East,M,85.5,630.062267,RW2,-0.014253
79,East,M,79.6,460.881764,RW2,0.001837
80,East,M,96.8,654.561643,RW2,0.015729
81,West,M,79.2,380.197093,RW2,-0.010753
82,West,M,71.7,355.399677,RW2,0.036461
83,West,M,73,343.140866,RW2,0.042805
84,West,M,88,393.244012,RW2,0.029136
85,West,M,49.2,700.56178,RW2,-0.010413
86,West,M,78.2,677.107359,RW2,0.005626
87,West,M,60.4,499.517357,RW2,-0.020741
88,West,M,55.4,692.916215,RW2,-0.006499
89,West,M,82,385.11846,RW2,0.051041
90,West,M,95.1,1028.885435,RW2,-0.002045
91,West,M,92.1,781.43769,RW2,-0.026959
92,West,M,76.1,837.565992,RW2,-0.041734
93,West,M,55.8,771.999143,RW2,-0.009693
94,West,M,92.2,1010.301148,RW2,-0.02075
95,West,M,69,369.722883,RW2,-0.015376
96,West,M,91,686.275155,RW2,-0.014912
97,West,M,82.1,396.765058,RW2,0.049747
98,West,M,94.1,595.784915,RW2,0.001509
99,West,M,92.4,615.486169,RW2,-0.001336
100,West,M,83.3,911.927899,RW2,-0.029403
101,West,M,82.3,622.754406,RW2,0.02
102,West,M,52.3,686.417865,RW2,-0.028634
103,West,M,89.1,1040.188511,RW2,-0.010495
104,West,M,81.2,729.092593,RW2,-0.005259
105,West,M,100.1,710.057837,RW2,-0.001492
106,West,M,81.4,585.924293,RW2,-0.035003
107,West,M,45.7,586.344052,RW2,-0.011098
1,Central,F,112.2,804.928074,RW3,0.00358
2,Central,F,90,722.469024,RW3,-0.045972
3,Central,F,63.2,729.791172,RW3,-0.027176
4,Central,F,56.6,466.056972,RW3,-0.025437
5,Central,F,96.3,811.066081,RW3,-0.048445
6,Central,F,88.2,946.360852,RW3,0.011969
7,Central,F,110,962.895852,RW3,0.0128
8,Central,F,89.2,805.818138,RW3,0.063319
9,Central,F,106.5,960.545944,RW3,0.049998
10,Central,F,74.4,670.357113,RW3,-0.044012
11,Central,F,83.4,808.202075,RW3,-0.001865
12,Central,F,100.9,1002.208643,RW3,0.010773
13,Central,F,99.8,568.339192,RW3,0.001509
14,Central,F,50.3,496.217005,RW3,0.015711
15,East,F,57.3,464.117846,RW3,0.004015
16,East,F,78.6,615.637977,RW3,0.007904
17,East,F,78.6,812.263689,RW3,-0.018848
18,East,F,55.9,643.97178,RW3,0.013798
19,East,F,73.6,755.143488,RW3,0.003621
20,East,F,57.3,656.577666,RW3,-0.035371
21,East,F,52.7,627.328429,RW3,0.009339
22,East,F,78.4,588.499253,RW3,-0.003841
23,East,F,53.9,533.444403,RW3,-0.007648
24,East,F,76.8,698.330635,RW3,0.025346
25,West,F,79.5,376.677564,RW3,-0.034613
26,West,F,105.1,498.605865,RW3,0.035405
27,West,F,95,436.738085,RW3,-0.001235
28,West,F,109,513.735079,RW3,-0.022354
29,West,F,45.5,275.265341,RW3,0.008884
30,West,F,78.3,396.903011,RW3,0.013685
31,West,F,104,453.4962,RW3,-0.004511
32,West,F,88.5,760.660458,RW3,-0.010679
33,West,F,68.1,743.689126,RW3,-0.003533
34,West,F,86.2,863.417958,RW3,0.006098
35,West,F,77.5,569.260851,RW3,0.016216
36,West,F,78.9,1026.300084,RW3,0.010114
37,West,F,116.4,888.828929,RW3,-0.032105
38,West,F,81.2,1181.868863,RW3,0.017004
39,West,F,76.6,400.123891,RW3,-0.02206
40,West,F,51.6,449.384748,RW3,-0.057336
41,West,F,81.7,752.901178,RW3,0.045501
42,West,F,111.8,774.789035,RW3,-0.014057
43,West,F,88.6,631.127171,RW3,0.031226
44,West,F,108,430.205819,RW3,0.044679
45,West,F,61.2,700.0916,RW3,-1.3e-5
46,West,F,101.9,455.704772,RW3,-0.008426
47,West,F,99.5,440.073723,RW3,-0.02552
48,Central,M,88.3,703.64,RW3,-0.011827
49,Central,M,34.2,677.322333,RW3,-0.033215
50,Central,M,80.4,911.295421,RW3,0.015372
51,Central,M,89,939.061068,RW3,0.048346
52,Central,M,58.1,625.089598,RW3,0.013038
53,Central,M,84.6,821.974416,RW3,-0.007768
54,Central,M,91.3,788.743894,RW3,0.012851
55,Central,M,90.9,636.551099,RW3,-0.013155
56,Central,M,85.1,834.939056,RW3,0.007291
57,Central,M,78.2,663.463242,RW3,-0.004824
58,Central,M,84.1,550.938399,RW3,-0.030485
59,Central,M,58.9,476.122943,RW3,-0.038677
60,Central,M,81.1,587.912367,RW3,-0.006444
61,Central,M,52.2,644.817042,RW3,0.012394
62,Central,M,59.8,582.824366,RW3,0.011925
63,East,M,77.5,681.916658,RW3,-0.007472
64,East,M,56.2,494.302947,RW3,-0.033071
65,East,M,50.4,499.835819,RW3,0.004441
66,East,M,56.7,464.601751,RW3,-0.028055
67,East,M,47.9,500.718431,RW3,-0.037983
68,East,M,58,574.76124,RW3,-6.41e-4
69,East,M,73.5,654.421847,RW3,0.022537
70,East,M,83.6,812.274005,RW3,-0.030791
71,East,M,51.4,812.030635,RW3,-0.004212
72,East,M,51.2,632.064054,RW3,0.007263
73,East,M,77.9,587.289172,RW3,0.012042
74,East,M,82.8,786.409543,RW3,0.008925
75,East,M,80.1,878.875995,RW3,-0.016762
76,East,M,69,667.517955,RW3,0.001484
77,East,M,85.6,580.019971,RW3,-0.002629
78,East,M,85.5,630.062267,RW3,-0.00904
79,East,M,79.6,460.881764,RW3,0.025878
80,East,M,96.8,654.561643,RW3,0.012687
81,West,M,79.2,380.197093,RW3,0.032663
82,West,M,71.7,355.399677,RW3,-0.009235
83,West,M,73,343.140866,RW3,-6.9e-4
84,West,M,88,393.244012,RW3,0.025235
85,West,M,49.2,700.56178,RW3,-0.001863
86,West,M,78.2,677.107359,RW3,0.009804
87,West,M,60.4,499.517357,RW3,-0.01298
88,West,M,55.4,692.916215,RW3,0.024951
89,West,M,82,385.11846,RW3,-0.008949
90,West,M,95.1,1028.885435,RW3,0.026445
91,West,M,92.1,781.43769,RW3,0.027604
92,West,M,76.1,837.565992,RW3,-0.047934
93,West,M,55.8,771.999143,RW3,-0.007939
94,West,M,92.2,1010.301148,RW3,0.005931
95,West,M,69,369.722883,RW3,-0.014373
96,West,M,91,686.275155,RW3,0.045085
97,West,M,82.1,396.765058,RW3,-0.001646
98,West,M,94.1,595.784915,RW3,-0.008295
99,West,M,92.4,615.486169,RW3,-0.023856
100,West,M,83.3,911.927899,RW3,0.037059
101,West,M,82.3,622.754406,RW3,-0.014973
102,West,M,52.3,686.417865,RW3,-0.002648
103,West,M,89.1,1040.188511,RW3,0.0105
104,West,M,81.2,729.092593,RW3,0.003756
105,West,M,100.1,710.057837,RW3,0.017812
106,West,M,81.4,585.924293,RW3,0.021477
107,West,M,45.7,586.344052,RW3,2.04e-4
1,Central,F,112.2,804.928074,RW4,-0.023878
2,Central,F,90,722.469024,RW4,-0.003305
3,Central,F,63.2,729.791172,RW4,0.004886
4,Central,F,56.6,466.056972,RW4,-0.010391
5,Central,F,96.3,811.066081,RW4,0.005812
6,Central,F,88.2,946.360852,RW4,0.013248
7,Central,F,110,962.895852,RW4,0.005227
8,Central,F,89.2,805.818138,RW4,0.00674
9,Central,F,106.5,960.545944,RW4,0.014863
10,Central,F,74.4,670.357113,RW4,0.018135
11,Central,F,83.4,808.202075,RW4,-0.002689
12,Central,F,100.9,1002.208643,RW4,-0.009843
13,Central,F,99.8,568.339192,RW4,-0.024344
14,Central,F,50.3,496.217005,RW4,0.014872
15,East,F,57.3,464.117846,RW4,-0.01172
16,East,F,78.6,615.637977,RW4,0.056423
17,East,F,78.6,812.263689,RW4,0.001679
18,East,F,55.9,643.97178,RW4,1.12e-4
19,East,F,73.6,755.143488,RW4,0.001679
20,East,F,57.3,656.577666,RW4,0.026005
21,East,F,52.7,627.328429,RW4,-0.002092
22,East,F,78.4,588.499253,RW4,0.010675
23,East,F,53.9,533.444403,RW4,0.023458
24,East,F,76.8,698.330635,RW4,-0.006327
25,West,F,79.5,376.677564,RW4,-0.027407
26,West,F,105.1,498.605865,RW4,-0.055594
27,West,F,95,436.738085,RW4,0.003636
28,West,F,109,513.735079,RW4,0.008998
29,West,F,45.5,275.265341,RW4,0.001919
30,West,F,78.3,396.903011,RW4,-0.00965
31,West,F,104,453.4962,RW4,-0.002674
32,West,F,88.5,760.660458,RW4,0.002268
33,West,F,68.1,743.689126,RW4,-0.011358
34,West,F,86.2,863.417958,RW4,0.013116
35,West,F,77.5,569.260851,RW4,0.008062
36,West,F,78.9,1026.300084,RW4,0.007748
37,West,F,116.4,888.828929,RW4,-0.02247
38,West,F,81.2,1181.868863,RW4,0.022568
39,West,F,76.6,400.123891,RW4,0.006398
40,West,F,51.6,449.384748,RW4,-0.00408
41,West,F,81.7,752.901178,RW4,-0.01267
42,West,F,111.8,774.789035,RW4,0.001454
43,West,F,88.6,631.127171,RW4,-0.013447
44,West,F,108,430.205819,RW4,-0.031937
45,West,F,61.2,700.0916,RW4,0.00843
46,West,F,101.9,455.704772,RW4,-0.014924
47,West,F,99.5,440.073723,RW4,-0.002445
48,Central,M,88.3,703.64,RW4,-0.006954
49,Central,M,34.2,677.322333,RW4,0.005866
50,Central,M,80.4,911.295421,RW4,0.014256
51,Central,M,89,939.061068,RW4,-0.013513
52,Central,M,58.1,625.089598,RW4,0.002712
53,Central,M,84.6,821.974416,RW4,0.012001
54,Central,M,91.3,788.743894,RW4,0.005411
55,Central,M,90.9,636.551099,RW4,-0.008476
56,Central,M,85.1,834.939056,RW4,0.008434
57,Central,M,78.2,663.463242,RW4,-0.010856
58,Central,M,84.1,550.938399,RW4,-0.00692
59,Central,M,58.9,476.122943,RW4,-0.001793
60,Central,M,81.1,587.912367,RW4,-0.012048
61,Central,M,52.2,644.817042,RW4,0.025726
62,Central,M,59.8,582.824366,RW4,-2.12e-4
63,East,M,77.5,681.916658,RW4,-0.031823
64,East,M,56.2,494.302947,RW4,-0.002279
65,East,M,50.4,499.835819,RW4,0.014612
66,East,M,56.7,464.601751,RW4,0.029586
67,East,M,47.9,500.718431,RW4,-0.016635
68,East,M,58,574.76124,RW4,0.008506
69,East,M,73.5,654.421847,RW4,0.006044
70,East,M,83.6,812.274005,RW4,0.005668
71,East,M,51.4,812.030635,RW4,0.022622
72,East,M,51.2,632.064054,RW4,0.026586
73,East,M,77.9,587.289172,RW4,5.88e-4
74,East,M,82.8,786.409543,RW4,-0.006919
75,East,M,80.1,878.875995,RW4,-0.007197
76,East,M,69,667.517955,RW4,0.005673
77,East,M,85.6,580.019971,RW4,-0.015567
78,East,M,85.5,630.062267,RW4,-0.011386
79,East,M,79.6,460.881764,RW4,0.008476
80,East,M,96.8,654.561643,RW4,-0.030991
81,West,M,79.2,380.197093,RW4,0.005627
82,West,M,71.7,355.399677,RW4,-0.003676
83,West,M,73,343.140866,RW4,0.011558
84,West,M,88,393.244012,RW4,-0.008734
85,West,M,49.2,700.56178,RW4,-0.016721
86,West,M,78.2,677.107359,RW4,-0.011544
87,West,M,60.4,499.517357,RW4,0.021906
88,West,M,55.4,692.916215,RW4,0.017037
89,West,M,82,385.11846,RW4,0.016374
90,West,M,95.1,1028.885435,RW4,0.016679
91,West,M,92.1,781.43769,RW4,-0.026161
92,West,M,76.1,837.565992,RW4,0.001781
93,West,M,55.8,771.999143,RW4,-9.59e-4
94,West,M,92.2,1010.301148,RW4,-0.01517
95,West,M,69,369.722883,RW4,0.005612
96,West,M,91,686.275155,RW4,0.033188
97,West,M,82.1,396.765058,RW4,0.019154
98,West,M,94.1,595.784915,RW4,-0.023554
99,West,M,92.4,615.486169,RW4,-0.030787
100,West,M,83.3,911.927899,RW4,0.017704
101,West,M,82.3,622.754406,RW4,-0.01174
102,West,M,52.3,686.417865,RW4,0.030359
103,West,M,89.1,1040.188511,RW4,-0.021505
104,West,M,81.2,729.092593,RW4,-0.007877
105,West,M,100.1,710.057837,RW4,0.01345
106,West,M,81.4,585.924293,RW4,-0.033895
107,West,M,45.7,586.344052,RW4,-0.002473
1,Central,F,112.2,804.928074,RW5,-0.017728
2,Central,F,90,722.469024,RW5,0.00147
3,Central,F,63.2,729.791172,RW5,0.013184
4,Central,F,56.6,466.056972,RW5,-0.004279
5,Central,F,96.3,811.066081,RW5,-0.001807
6,Central,F,88.2,946.360852,RW5,0.004625
7,Central,F,110,962.895852,RW5,0.021543
8,Central,F,89.2,805.818138,RW5,-0.002543
9,Central,F,106.5,960.545944,RW5,7.34e-4
10,Central,F,74.4,670.357113,RW5,-0.009549
11,Central,F,83.4,808.202075,RW5,0.006437
12,Central,F,100.9,1002.208643,RW5,0.017077
13,Central,F,99.8,568.339192,RW5,0.001791
14,Central,F,50.3,496.217005,RW5,-0.004461
15,East,F,57.3,464.117846,RW5,-0.016484
16,East,F,78.6,615.637977,RW5,0.004888
17,East,F,78.6,812.263689,RW5,0.024492
18,East,F,55.9,643.97178,RW5,-9.69e-4
19,East,F,73.6,755.143488,RW5,-0.006058
20,East,F,57.3,656.577666,RW5,-0.008101
21,East,F,52.7,627.328429,RW5,-4.98e-4
22,East,F,78.4,588.499253,RW5,0.004052
23,East,F,53.9,533.444403,RW5,0.01535
24,East,F,76.8,698.330635,RW5,0.005822
25,West,F,79.5,376.677564,RW5,-0.009205
26,West,F,105.1,498.605865,RW5,0.019072
27,West,F,95,436.738085,RW5,-0.002723
28,West,F,109,513.735079,RW5,0.0017
29,West,F,45.5,275.265341,RW5,-0.027527
30,West,F,78.3,396.903011,RW5,0.01202
31,West,F,104,453.4962,RW5,0.014147
32,West,F,88.5,760.660458,RW5,-0.018188
33,West,F,68.1,743.689126,RW5,0.007478
34,West,F,86.2,863.417958,RW5,-0.00641
35,West,F,77.5,569.260851,RW5,0.015989
36,West,F,78.9,1026.300084,RW5,0.01454
37,West,F,116.4,888.828929,RW5,0.003683
38,West,F,81.2,1181.868863,RW5,0.001119
39,West,F,76.6,400.123891,RW5,0.035771
40,West,F,51.6,449.384748,RW5,0.003191
41,West,F,81.7,752.901178,RW5,-0.016158
42,West,F,111.8,774.789035,RW5,0.022366
43,West,F,88.6,631.127171,RW5,-0.009828
44,West,F,108,430.205819,RW5,-0.001675
45,West,F,61.2,700.0916,RW5,1.98e-4
46,West,F,101.9,455.704772,RW5,0.011443
47,West,F,99.5,440.073723,RW5,0.014578
48,Central,M,88.3,703.64,RW5,0.001145
49,Central,M,34.2,677.322333,RW5,-8.18e-4
50,Central,M,80.4,911.295421,RW5,0.004274
51,Central,M,89,939.061068,RW5,-0.004017
52,Central,M,58.1,625.089598,RW5,-0.004861
53,Central,M,84.6,821.974416,RW5,0.002792
54,Central,M,91.3,788.743894,RW5,0.010776
55,Central,M,90.9,636.551099,RW5,-0.006119
56,Central,M,85.1,834.939056,RW5,-0.015542
57,Central,M,78.2,663.463242,RW5,-0.002611
58,Central,M,84.1,550.938399,RW5,-0.018363
59,Central,M,58.9,476.122943,RW5,-0.012415
60,Central,M,81.1,587.912367,RW5,-0.006944
61,Central,M,52.2,644.817042,RW5,0.013269
62,Central,M,59.8,582.824366,RW5,-0.029215
63,East,M,77.5,681.916658,RW5,0.017942
64,East,M,56.2,494.302947,RW5,-2.42e-4
65,East,M,50.4,499.835819,RW5,-0.010659
66,East,M,56.7,464.601751,RW5,-0.014689
67,East,M,47.9,500.718431,RW5,-0.012203
68,East,M,58,574.76124,RW5,0.001922
69,East,M,73.5,654.421847,RW5,-0.004851
70,East,M,83.6,812.274005,RW5,-0.002624
71,East,M,51.4,812.030635,RW5,-0.008853
72,East,M,51.2,632.064054,RW5,-0.007395
73,East,M,77.9,587.289172,RW5,-0.005002
74,East,M,82.8,786.409543,RW5,0.003806
75,East,M,80.1,878.875995,RW5,-0.005466
76,East,M,69,667.517955,RW5,0.017896
77,East,M,85.6,580.019971,RW5,-0.01751
78,East,M,85.5,630.062267,RW5,-0.013901
79,East,M,79.6,460.881764,RW5,-0.010478
80,East,M,96.8,654.561643,RW5,-0.025765
81,West,M,79.2,380.197093,RW5,0.016683
82,West,M,71.7,355.399677,RW5,0.001906
83,West,M,73,343.140866,RW5,-0.001352
84,West,M,88,393.244012,RW5,-0.009478
85,West,M,49.2,700.56178,RW5,-0.013123
86,West,M,78.2,677.107359,RW5,0.012842
87,West,M,60.4,499.517357,RW5,-0.0095
88,West,M,55.4,692.916215,RW5,0.006956
89,West,M,82,385.11846,RW5,-0.003914
90,West,M,95.1,1028.885435,RW5,0.017995
91,West,M,92.1,781.43769,RW5,-0.005482
92,West,M,76.1,837.565992,RW5,0.004726
93,West,M,55.8,771.999143,RW5,-0.010303
94,West,M,92.2,1010.301148,RW5,-0.00424
95,West,M,69,369.722883,RW5,-0.004247
96,West,M,91,686.275155,RW5,-0.007287
97,West,M,82.1,396.765058,RW5,-0.007143
98,West,M,94.1,595.784915,RW5,0.006223
99,West,M,92.4,615.486169,RW5,0.022158
100,West,M,83.3,911.927899,RW5,-0.005256
101,West,M,82.3,622.754406,RW5,-0.004798
102,West,M,52.3,686.417865,RW5,0.006719
103,West,M,89.1,1040.188511,RW5,1.9e-4
104,West,M,81.2,729.092593,RW5,0.002249
105,West,M,100.1,710.057837,RW5,0.003251
106,West,M,81.4,585.924293,RW5,0.01167
107,West,M,45.7,586.344052,RW5,0.004708
1,Central,F,112.2,804.928074,RW6,-0.007393
2,Central,F,90,722.469024,RW6,-0.002961
3,Central,F,63.2,729.791172,RW6,-0.00244
4,Central,F,56.6,466.056972,RW6,0.017118
5,Central,F,96.3,811.066081,RW6,0.003558
6,Central,F,88.2,946.360852,RW6,0.006112
7,Central,F,110,962.895852,RW6,-0.001822
8,Central,F,89.2,805.818138,RW6,0.002209
9,Central,F,106.5,960.545944,RW6,0.014169
10,Central,F,74.4,670.357113,RW6,8.9e-5
11,Central,F,83.4,808.202075,RW6,0.006523
12,Central,F,100.9,1002.208643,RW6,0.012768
13,Central,F,99.8,568.339192,RW6,0.00695
14,Central,F,50.3,496.217005,RW6,1.55e-4
15,East,F,57.3,464.117846,RW6,0.003404
16,East,F,78.6,615.637977,RW6,-0.01033
17,East,F,78.6,812.263689,RW6,-0.011625
18,East,F,55.9,643.97178,RW6,-0.001768
19,East,F,73.6,755.143488,RW6,0.0037
20,East,F,57.3,656.577666,RW6,0.009966
21,East,F,52.7,627.328429,RW6,-0.015775
22,East,F,78.4,588.499253,RW6,0.007948
23,East,F,53.9,533.444403,RW6,1.17e-4
24,East,F,76.8,698.330635,RW6,0.017679
25,West,F,79.5,376.677564,RW6,-0.011863
26,West,F,105.1,498.605865,RW6,-0.009164
27,West,F,95,436.738085,RW6,0.013288
28,West,F,109,513.735079,RW6,7.9e-4
29,West,F,45.5,275.265341,RW6,-0.005434
30,West,F,78.3,396.903011,RW6,-0.02474
31,West,F,104,453.4962,RW6,-6.95e-4
